Item,Guest,Meal,Time,Value
0,2,dinner,0,1.0
0,2,dinner,2,1.0
0,2,dinner,3,1.0
2,1,dinner,0,1.0
2,1,dinner,3,1.0
2,1,dinner,4,1.0
2,2,dinner,0,1.0
2,2,dinner,3,1.0
2,2,dinner,4,1.0
3,0,dinner,2,1.0
3,0,dinner,5,1.0
3,1,dinner,2,1.0
3,1,dinner,5,1.0
4,1,lunch,5,1.0
4,1,dinner,1,1.0
4,1,dinner,2,1.0
4,2,lunch,5,1.0
4,2,dinner,1,1.0
4,2,dinner,2,1.0
8,1,lunch,1,1.0
12,0,lunch,1,1.0000000000000004
12,0,lunch,5,1.0000000000000004
12,0,dinner,4,1.0
12,1,lunch,1,1.0000000000000004
12,1,lunch,5,1.0000000000000004
12,1,dinner,4,1.0
12,2,lunch,1,1.0000000000000004
12,2,lunch,5,1.0000000000000004
12,2,dinner,4,1.0
14,1,lunch,2,1.0
14,1,lunch,6,1.0
14,1,dinner,5,1.0
14,2,lunch,2,1.0
14,2,lunch,6,1.0
14,2,dinner,5,1.0
15,2,dinner,3,1.0
17,1,dinner,4,1.0
17,2,dinner,4,1.0
21,0,lunch,0,1.0000000000000004
21,0,dinner,3,1.0000000000000004
21,1,lunch,0,1.0000000000000004
21,1,dinner,3,1.0000000000000004
21,2,lunch,0,1.0000000000000004
21,2,dinner,3,1.0000000000000004
22,1,lunch,2,1.0
22,1,lunch,6,1.0
22,2,lunch,2,1.0
22,2,lunch,6,1.0
26,0,dinner,3,1.0
26,0,dinner,6,1.0
26,1,dinner,3,1.0
26,1,dinner,6,1.0
32,0,lunch,6,1.0
33,2,lunch,3,1.0
33,2,dinner,0,1.0
36,2,lunch,4,1.0
36,2,dinner,1,1.0
37,0,lunch,1,1.0
37,0,dinner,2,1.0
37,0,dinner,6,1.0
37,2,lunch,1,1.0
37,2,dinner,2,1.0
37,2,dinner,6,1.0
38,0,breakfast,1,1.0
38,0,breakfast,4,1.0
38,0,breakfast,5,1.0
38,1,breakfast,1,1.0
38,1,breakfast,4,1.0
38,1,breakfast,5,1.0
38,2,breakfast,1,1.0
38,2,breakfast,4,1.0
38,2,breakfast,5,1.0
42,1,dinner,6,1.0
45,0,lunch,6,1.0
45,0,dinner,1,1.0
45,0,dinner,2,1.0
45,1,lunch,6,1.0
45,1,dinner,1,1.0
45,1,dinner,2,1.0
45,2,lunch,6,1.0
45,2,dinner,1,1.0
45,2,dinner,2,1.0
46,0,lunch,3,1.0
46,0,lunch,4,1.0
46,0,dinner,0,1.0
47,0,lunch,3,1.0000000000000004
47,0,lunch,4,1.0
47,0,dinner,0,1.0000000000000004
47,1,lunch,3,1.0000000000000004
47,1,lunch,4,1.0
47,1,dinner,0,1.0000000000000004
47,2,lunch,3,1.0000000000000004
47,2,lunch,4,1.0
47,2,dinner,0,1.0000000000000004
49,0,lunch,1,1.0
49,0,lunch,4,1.0
49,0,dinner,0,1.0
49,1,lunch,1,1.0
49,1,lunch,4,1.0
49,1,dinner,0,1.0
49,2,lunch,1,1.0
49,2,lunch,4,1.0
49,2,dinner,0,1.0
52,2,dinner,5,1.0
57,0,lunch,2,1.0
57,0,dinner,5,1.0
57,0,dinner,6,1.0
57,1,lunch,2,1.0
57,1,dinner,5,1.0
57,1,dinner,6,1.0
57,2,lunch,2,1.0
57,2,dinner,5,1.0
57,2,dinner,6,1.0
58,0,lunch,2,1.0
58,0,lunch,3,1.0
58,0,dinner,6,1.0
58,1,lunch,2,1.0
58,1,lunch,3,1.0
58,1,dinner,6,1.0
58,2,lunch,2,1.0
58,2,lunch,3,1.0
58,2,dinner,6,1.0
59,0,lunch,5,1.0
59,0,dinner,1,1.0
59,1,lunch,5,1.0
59,1,dinner,1,1.0
61,0,dinner,1,1.0
61,0,dinner,4,1.0
61,0,dinner,5,1.0
61,2,dinner,1,1.0
61,2,dinner,4,1.0
61,2,dinner,5,1.0
65,0,lunch,5,1.0
65,0,lunch,6,1.0
65,1,lunch,5,1.0
65,1,lunch,6,1.0
65,2,lunch,5,1.0
65,2,lunch,6,1.0
69,0,lunch,0,1.0
69,0,dinner,2,1.0
69,0,dinner,3,1.0
69,1,lunch,0,1.0
69,1,dinner,2,1.0
69,1,dinner,3,1.0
70,0,lunch,5,1.0
70,0,lunch,6,1.0
70,1,lunch,5,1.0
70,1,lunch,6,1.0
70,2,lunch,5,1.0
70,2,lunch,6,1.0
71,0,lunch,1,1.0000000000000004
71,0,lunch,2,1.0
71,0,dinner,5,1.0
71,1,lunch,1,1.0000000000000004
71,1,lunch,2,1.0
71,1,dinner,5,1.0
71,2,lunch,1,1.0000000000000004
71,2,lunch,2,1.0
71,2,dinner,5,1.0
72,0,dinner,0,1.0
72,0,dinner,1,1.0000000000000004
72,0,dinner,4,1.0
72,1,dinner,0,1.0
72,1,dinner,1,1.0000000000000004
72,1,dinner,4,1.0
72,2,dinner,0,1.0
72,2,dinner,1,1.0000000000000004
72,2,dinner,4,1.0
73,0,dinner,2,1.0
73,0,dinner,3,1.0
73,0,dinner,6,1.0
73,1,dinner,2,1.0
73,1,dinner,3,1.0
73,1,dinner,6,1.0
73,2,dinner,2,1.0
73,2,dinner,3,1.0
73,2,dinner,6,1.0
74,0,lunch,0,1.0
74,0,lunch,3,1.0
74,0,lunch,4,1.0
74,1,lunch,0,1.0
74,1,lunch,3,1.0
74,1,lunch,4,1.0
74,2,lunch,0,1.0
74,2,lunch,3,1.0
74,2,lunch,4,1.0
82,0,breakfast,2,1.0
82,0,breakfast,5,1.0
82,1,breakfast,2,1.0
82,1,breakfast,5,1.0
82,2,breakfast,2,1.0
82,2,breakfast,5,1.0
83,0,breakfast,0,1.0
83,0,breakfast,3,1.0
83,0,breakfast,4,1.0
83,1,breakfast,0,1.0
83,1,breakfast,3,1.0
83,1,breakfast,4,1.0
83,2,breakfast,0,1.0
83,2,breakfast,3,1.0
83,2,breakfast,4,1.0
84,0,breakfast,0,1.0
84,0,breakfast,3,1.0
84,0,breakfast,6,1.0
84,1,breakfast,0,1.0
84,1,breakfast,3,1.0
84,1,breakfast,6,1.0
84,2,breakfast,0,1.0
84,2,breakfast,3,1.0
84,2,breakfast,6,1.0
90,0,breakfast,1,1.0
90,0,breakfast,2,1.0
90,0,breakfast,6,1.0
90,1,breakfast,1,1.0
90,1,breakfast,2,1.0
90,1,breakfast,6,1.0
90,2,breakfast,1,1.0
90,2,breakfast,2,1.0
90,2,breakfast,6,1.0
92,0,lunch,0,1.0
92,0,dinner,3,1.0
92,2,lunch,0,1.0
92,2,dinner,3,1.0
93,0,lunch,2,1.0
93,0,lunch,5,1.0
93,0,lunch,6,1.0
94,1,lunch,0,1.0
94,1,lunch,3,1.0
94,1,lunch,4,1.0
94,2,lunch,0,1.0
94,2,lunch,3,1.0
94,2,lunch,4,1.0
98,0,dinner,1,1.0
98,0,dinner,4,1.0
98,0,dinner,5,1.0
98,1,dinner,1,1.0
98,1,dinner,4,1.0
98,1,dinner,5,1.0
100,0,lunch,0,1.0
100,0,lunch,3,1.0
100,0,lunch,4,1.0
100,1,lunch,0,1.0
100,1,lunch,4,1.0
100,2,lunch,0,1.0
100,2,lunch,3,1.0
100,2,lunch,4,1.0
101,1,dinner,1,1.0
101,1,dinner,4,1.0
101,1,dinner,5,1.0
103,1,lunch,1,1.0
103,1,lunch,5,1.0
103,1,dinner,6,1.0
103,2,lunch,1,1.0
103,2,lunch,5,1.0
103,2,dinner,6,1.0
104,1,lunch,2,1.0
104,1,lunch,3,1.0
104,1,lunch,6,1.0
105,0,dinner,0,1.0
105,0,dinner,2,1.0
105,1,dinner,0,1.0
105,1,dinner,2,1.0
106,0,dinner,1,1.0
106,0,dinner,4,1.0
106,0,dinner,5,1.0
106,2,dinner,1,1.0
106,2,dinner,4,1.0
106,2,dinner,5,1.0
107,0,lunch,2,1.0
107,0,lunch,6,1.0
107,2,lunch,2,1.0
107,2,lunch,6,1.0
108,0,dinner,3,1.0
108,1,dinner,3,1.0
109,0,lunch,1,1.0
109,0,lunch,5,1.0
109,0,dinner,6,1.0
112,2,lunch,5,1.0
112,2,dinner,2,1.0
113,0,lunch,2,1.0
115,0,lunch,1,1.0
115,0,dinner,4,1.0
117,2,lunch,0,1.0
119,1,lunch,1,1.0
119,2,lunch,1,1.0
120,0,lunch,0,1.0
120,0,lunch,4,1.0
120,1,lunch,0,1.0
120,1,lunch,4,1.0
124,0,lunch,3,1.0
124,0,dinner,0,1.0
124,1,lunch,3,1.0
124,1,dinner,0,1.0
126,2,dinner,6,1.0
