Item,Guest,Meal,Time,Value
0,1,lunch,1,1.0
0,1,dinner,5,1.0
1,0,lunch,2,1.0
1,0,lunch,6,1.0
1,0,dinner,3,1.0
1,1,lunch,2,1.0
1,1,lunch,6,1.0
1,1,dinner,3,1.0
3,2,dinner,0,1.0
3,2,dinner,3,1.0
4,0,lunch,4,1.0
7,2,lunch,5,1.0
7,2,lunch,6,1.0
7,2,dinner,2,1.0
8,0,lunch,3,1.0
10,2,dinner,1,1.0
10,2,dinner,4,1.0
13,0,dinner,0,1.0
13,1,dinner,0,1.0
23,0,dinner,0,1.0
23,1,dinner,0,1.0
23,2,lunch,3,1.0
23,2,dinner,0,1.0
28,2,lunch,2,1.0
28,2,dinner,6,1.0
41,1,lunch,2,1.0
45,2,lunch,1,1.0
45,2,lunch,5,1.0
45,2,dinner,6,1.0
47,2,lunch,0,1.0
48,2,lunch,0,1.0
48,2,dinner,4,1.0
51,1,dinner,1,1.0
60,1,dinner,6,1.0
62,2,dinner,1,1.0
62,2,dinner,4,1.0
65,0,lunch,1,1.0
65,0,dinner,4,1.0
65,0,dinner,5,1.0
65,1,dinner,4,1.0
68,0,lunch,1,1.0
68,0,dinner,5,1.0
68,0,dinner,6,1.0
68,1,lunch,1,1.0
68,1,dinner,5,1.0
70,2,lunch,2,1.0
74,0,lunch,0,1.0
82,2,breakfast,1,1.0
82,2,breakfast,4,1.0
82,2,breakfast,5,1.0
83,2,breakfast,5,1.0
87,0,breakfast,1,1.0
87,2,breakfast,1,1.0
87,2,breakfast,2,1.0
87,2,breakfast,6,1.0
92,2,lunch,1,1.0
92,2,lunch,4,1.0
92,2,lunch,5,1.0
93,0,dinner,4,1.0
93,1,dinner,4,1.0
99,2,lunch,4,1.0
99,2,dinner,0,1.0
99,2,dinner,1,1.0
101,1,lunch,4,1.0
104,0,lunch,2,1.0
104,1,lunch,2,1.0
104,1,lunch,6,1.0
104,1,dinner,0,1.0
107,1,dinner,5,1.0
120,2,lunch,3,1.0
120,2,lunch,6,1.0
128,1,dinner,1,1.0
130,0,lunch,0,1.0
131,2,lunch,0,1.0
131,2,dinner,2,1.0
131,2,dinner,3,1.0
134,1,lunch,3,1.0
138,0,lunch,0,1.0
138,1,lunch,0,1.0
147,0,lunch,6,1.0
147,1,lunch,3,1.0
147,1,lunch,6,1.0
147,2,lunch,3,1.0
147,2,lunch,6,1.0
147,2,dinner,2,1.0
149,0,lunch,2,1.0
151,0,lunch,5,1.0
152,2,lunch,2,1.0
152,2,dinner,3,1.0
152,2,dinner,6,1.0
154,0,dinner,0,1.0
158,1,lunch,0,1.0
161,0,dinner,1,1.0
161,1,lunch,5,1.0
163,0,lunch,3,1.0
163,1,lunch,0,1.0
163,1,lunch,3,1.0
165,1,dinner,3,1.0
167,0,lunch,6,1.0
171,0,breakfast,3,1.0
171,1,breakfast,6,1.0
171,2,breakfast,0,1.0
171,2,breakfast,3,1.0
171,2,breakfast,6,1.0
175,0,breakfast,2,1.0
175,2,breakfast,2,1.0
176,0,breakfast,4,1.0
176,1,breakfast,4,1.0
176,2,breakfast,0,1.0
176,2,breakfast,3,1.0
176,2,breakfast,4,1.0
196,0,lunch,5,1.0
196,1,lunch,5,1.0
198,0,dinner,3,1.0
205,0,lunch,1,1.0
205,0,lunch,4,1.0
205,1,lunch,1,1.0
205,1,lunch,4,1.0
205,2,lunch,1,1.0
205,2,lunch,4,1.0
