Item,Guest,Meal,Time,Value
1,0,lunch,1,1.0
1,0,lunch,5,1.0
1,0,dinner,4,1.0
1,1,lunch,1,1.0
1,1,lunch,5,1.0
1,1,dinner,4,1.0
1,2,lunch,5,1.0
1,2,dinner,4,1.0
2,2,lunch,5,1.0
4,0,lunch,0,1.0
4,1,lunch,0,1.0
6,0,dinner,6,1.0
10,0,lunch,2,1.0
10,0,lunch,5,1.0
10,2,lunch,2,1.0
10,2,lunch,5,1.0
12,2,lunch,1,1.0
12,2,dinner,2,1.0
13,0,lunch,3,1.0
13,0,dinner,0,1.0
13,2,lunch,3,1.0
13,2,dinner,0,1.0
14,0,dinner,2,1.0
14,2,dinner,2,1.0
19,2,lunch,4,1.0
21,0,lunch,6,1.0
21,1,lunch,6,1.0
28,2,lunch,0,1.0
28,2,lunch,3,1.0
38,0,breakfast,1,1.0
38,2,breakfast,1,1.0
45,2,lunch,2,1.0
45,2,dinner,5,1.0
47,0,lunch,3,1.0
48,2,dinner,5,1.0
51,1,dinner,1,1.0
57,0,dinner,1,1.0
57,0,dinner,4,1.0
61,1,dinner,2,1.0
65,0,lunch,0,1.0
65,0,lunch,2,1.0
65,1,lunch,0,1.0
65,1,lunch,2,1.0
68,0,dinner,4,1.0
68,0,dinner,5,1.0
68,1,dinner,4,1.0
68,2,lunch,1,1.0
70,0,lunch,4,1.0
72,0,dinner,2,1.0
73,1,dinner,1,1.0
82,2,breakfast,2,1.0
82,2,breakfast,6,1.0
89,2,breakfast,2,1.0
89,2,breakfast,6,1.0
90,2,breakfast,5,1.0
91,2,breakfast,5,1.0
93,2,dinner,0,1.0
99,2,lunch,4,1.0
99,2,dinner,3,1.0
104,0,lunch,0,1.0
104,1,lunch,0,1.0
104,2,lunch,0,1.0
107,1,lunch,5,1.0
107,1,dinner,2,1.0
113,1,dinner,3,1.0
117,1,lunch,5,1.0
120,2,dinner,4,1.0
131,0,lunch,6,1.0
131,2,lunch,2,1.0
131,2,lunch,6,1.0
131,2,dinner,1,1.0
138,0,dinner,5,1.0
138,1,dinner,5,1.0
138,2,lunch,1,1.0
138,2,dinner,5,1.0
141,1,lunch,3,1.0
147,0,dinner,1,1.0
147,1,dinner,1,1.0
147,2,lunch,0,1.0
147,2,lunch,6,1.0
147,2,dinner,1,1.0
148,0,dinner,3,1.0
148,0,dinner,6,1.0
148,1,dinner,3,1.0
148,2,dinner,3,1.0
148,2,dinner,6,1.0
152,2,lunch,6,1.0
152,2,dinner,0,1.0
155,1,lunch,3,1.0
158,0,dinner,3,1.0
158,2,dinner,3,1.0
158,2,dinner,6,1.0
159,2,dinner,1,1.0
160,2,dinner,4,1.0
161,0,lunch,1,1.0
161,1,lunch,1,1.0
161,1,lunch,6,1.0
163,1,dinner,4,1.0
164,0,lunch,6,1.0
166,0,lunch,5,1.0
167,1,dinner,0,1.0
171,0,breakfast,3,1.0
171,1,breakfast,4,1.0
171,2,breakfast,0,1.0
171,2,breakfast,3,1.0
171,2,breakfast,4,1.0
172,0,breakfast,3,1.0
172,2,breakfast,0,1.0
172,2,breakfast,3,1.0
172,2,breakfast,4,1.0
176,2,breakfast,1,1.0
188,1,lunch,1,1.0
188,2,lunch,4,1.0
196,0,lunch,3,1.0
196,0,dinner,0,1.0
196,1,lunch,3,1.0
196,1,dinner,0,1.0
196,2,lunch,3,1.0
198,0,lunch,2,1.0
198,1,dinner,6,1.0
205,0,dinner,2,1.0
205,0,dinner,6,1.0
205,1,dinner,2,1.0
205,1,dinner,6,1.0
205,2,dinner,2,1.0
205,2,dinner,6,1.0
